Name,Location,Quantity,Price
aliquam arcu. Aliquam,Pittsford,205.9816242754,$0.15
ligula. Aliquam erat,Pittsford,219.65784211545,$0.26
tellus id nunc,Pittsford,194.21716481666,$0.16
"euismod in, dolor.",Pittsford,208.96516989443,$0.14
amet risus. Donec,Pittsford,139.0053869686,$0.20
rutrum lorem ac,Pittsford,197.55369937714,$0.18
tristique senectus et,Pittsford,217.95247793888,$0.25
lacus. Etiam bibendum,Pittsford,204.83327117209,$0.06
fringilla euismod enim.,Pittsford,192.42906235869,$0.12
non magna. Nam,Pittsford,216.30997593439,$0.21
Cras eget nisi,Pittsford,196.58580175941,$0.28
"eget, venenatis a,",Pittsford,178.05068255556,$0.01
litora torquent per,Pittsford,215.92024343309,$0.02
"aliquam, enim nec",Pittsford,184.76328264578,$0.20
risus quis diam,Pittsford,201.50520946501,$0.29
viverra. Maecenas iaculis,Pittsford,245.90344082535,$0.17
"enim, gravida sit",Pittsford,244.80137640745,$0.04
arcu eu odio,Pittsford,205.15243063386,$0.24
urna. Ut tincidunt,Pittsford,254.23497819367,$0.17
Vestibulum ante ipsum,Pittsford,169.11678984797,$0.04
dolor. Fusce feugiat.,Pittsford,190.41817695141,$0.02
Nunc laoreet lectus,Pittsford,177.13532397951,$0.24
laoreet lectus quis,Pittsford,187.4893245185,$0.20
sed dolor. Fusce,Pittsford,231.49012827561,$0.27
egestas. Aliquam fringilla,Pittsford,190.60709170064,$0.25
"vulputate dui, nec",Pittsford,196.16917217941,$0.20
"consequat, lectus sit",Pittsford,202.30125429345,$0.03
nec ante blandit,Pittsford,193.13587074205,$0.25
"viverra. Donec tempus,",Pittsford,202.73588158717,$0.21
porttitor tellus non,Pittsford,177.66746551326,$0.27
"luctus sit amet,",Pittsford,158.96457150761,$0.08
augue eu tellus.,Pittsford,156.31123849826,$0.07
Cras pellentesque. Sed,Pittsford,200.7375817459,$0.15
Vestibulum ante ipsum,Pittsford,183.54251284397,$0.20
Praesent luctus. Curabitur,Pittsford,192.60985998088,$0.19
Mauris quis turpis,Pittsford,228.49051329921,$0.16
gravida. Praesent eu,Pittsford,180.39521287799,$0.01
"montes, nascetur ridiculus",Pittsford,227.13475564126,$0.15
"dictum mi, ac",Pittsford,187.42636022489,$0.02
Curabitur egestas nunc,Pittsford,183.89247156061,$0.10
"mattis semper, dui",Pittsford,225.77787722145,$0.02
bibendum ullamcorper. Duis,Pittsford,169.69196892581,$0.26
"egestas a, dui.",Pittsford,216.55224247333,$0.10
"Nulla tincidunt, neque",Pittsford,199.60340910429,$0.30
massa rutrum magna.,Pittsford,235.05704651611,$0.24
"dui. Fusce aliquam,",Pittsford,158.71733804341,$0.11
elit. Nulla facilisi.,Pittsford,171.46918273507,$0.22
"egestas. Sed pharetra,",Pittsford,221.52094554265,$0.26
sit amet orci.,Pittsford,244.43755118306,$0.23
rhoncus. Donec est.,Pittsford,220.48805825069,$0.15
amet orci. Ut,Pittsford,201.36158802125,$0.02
rhoncus. Nullam velit,Pittsford,212.88183318643,$0.30
scelerisque mollis. Phasellus,Pittsford,203.48559534183,$0.01
Proin dolor. Nulla,Pittsford,213.76548775538,$0.19
consequat purus. Maecenas,Pittsford,165.30249508373,$0.09
"Donec nibh enim,",Pittsford,236.83137062624,$0.04
risus. Donec nibh,Pittsford,253.8932802988,$0.26
morbi tristique senectus,Pittsford,212.61209305022,$0.19
"imperdiet nec, leo.",Pittsford,209.1968688567,$0.08
Nam interdum enim,Pittsford,168.8939203161,$0.17
libero. Proin sed,Pittsford,219.03798644444,$0.09
"elit pede, malesuada",Pittsford,159.90050609407,$0.21
libero et tristique,Pittsford,209.88194182273,$0.16
"euismod ac, fermentum",Pittsford,155.36048796188,$0.16
bibendum. Donec felis,Pittsford,196.26532724635,$0.21
"amet luctus vulputate,",Pittsford,220.92864639361,$0.11
consequat purus. Maecenas,Pittsford,204.71612989407,$0.24
commodo hendrerit. Donec,Pittsford,249.08252067287,$0.28
sem ut cursus,Pittsford,210.51487071412,$0.28
"enim, sit amet",Pittsford,178.41313563078,$0.13
tincidunt nibh. Phasellus,Pittsford,227.13873548767,$0.09
"hendrerit id, ante.",Pittsford,235.77162141161,$0.11
gravida nunc sed,Pittsford,150.48702353342,$0.21
massa lobortis ultrices.,Pittsford,238.26959588809,$0.04
"elementum, lorem ut",Pittsford,201.66669264642,$0.06
dignissim. Maecenas ornare,Pittsford,248.00506135091,$0.18
"pharetra, felis eget",Pittsford,201.59500059755,$0.14
"dolor, tempus non,",Pittsford,217.38263664804,$0.01
blandit viverra. Donec,Pittsford,200.11762572702,$0.10
"Sed nunc est,",Pittsford,193.66213055625,$0.19
lacus. Cras interdum.,Pittsford,176.31558896233,$0.12
"Sed congue, elit",Pittsford,204.46639859249,$0.27
elit. Curabitur sed,Pittsford,186.9798463526,$0.16
magnis dis parturient,Pittsford,171.36167258293,$0.12
tincidunt vehicula risus.,Pittsford,220.47198123012,$0.26
"mi, ac mattis",Pittsford,231.53914198668,$0.05
"Integer sem elit,",Pittsford,189.49494727358,$0.30
nisi a odio,Pittsford,202.8506566427,$0.08
eu metus. In,Pittsford,150.91459349726,$0.11
ipsum dolor sit,Pittsford,168.54899198591,$0.09
dapibus quam quis,Pittsford,189.05961130722,$0.08
"et, eros. Proin",Pittsford,196.94945524206,$0.27
Nulla semper tellus,Pittsford,188.56704289912,$0.29
posuere cubilia Curae;,Pittsford,212.07697803479,$0.04
consequat dolor vitae,Pittsford,175.36890102968,$0.11
Integer mollis. Integer,Pittsford,215.10349573549,$0.10
ligula. Aliquam erat,Pittsford,242.84518942964,$0.28
"posuere vulputate, lacus.",Pittsford,215.65811105505,$0.22
tortor nibh sit,Pittsford,187.95390816183,$0.23
netus et malesuada,Pittsford,202.05744665454,$0.27
